model,model_dir,total,success,failures,excluded_parse_only,wrong_answer_count,wrong_answer_pct,syntax_error_count,syntax_error_pct,runtime_error_count,runtime_error_pct,time_limit_count,time_limit_pct
Haiku,claude-haiku-4.5,4740,2115,2504,121,1267,50.6,410,16.37,70,2.8,757,30.23
Codestral,codestral-2508,4740,2282,2411,47,1533,63.58,105,4.36,690,28.62,83,3.44
Gemini 2.0,gemini-2.0-flash-001,4740,2376,2198,166,1578,71.79,425,19.34,54,2.46,141,6.41
Gemini 2.5,gemini-2.5-flash,4740,2378,2068,294,1517,73.36,323,15.62,70,3.38,158,7.64
GPT-4o mini,gpt-4o-mini,4740,2174,2364,202,1556,65.82,85,3.6,632,26.73,91,3.85
Mixtral,mixtral-8x22b-instruct,4740,1900,2626,214,1202,45.77,146,5.56,1209,46.04,69,2.63
Total,all,28440,13225,14171,1044,8653,61.06,1494,10.54,2725,19.23,1299,9.17
