type,group,tasks,instances,rows,route1,route2,route3,delta_route2_route1,mcnemar_p_route2_route1,delta_route3_route2,mcnemar_p_route3_route2,n01_route2_route1,n10_route2_route1,n01_route3_route2,n10_route3_route2
closed,anthropic/claude-haiku-4.5,44,1340,4020,0.314179,0.276866,0.481592,-0.037313,4.43311935077e-13,0.204726,6.56922835365e-123,141,291,1067,244
closed,google/gemini-2.0-flash-001,44,1340,4020,0.222886,0.211194,0.543781,-0.011692,0.015934985747,0.332587,5.46347708068e-302,159,206,1440,103
closed,google/gemini-2.5-flash,44,1340,4020,0.234328,0.234826,0.543284,0.000498,0.960997524264,0.308458,1.54595536858e-277,210,208,1340,100
closed,openai/gpt-4o-mini,44,1340,4020,0.181841,0.168159,0.496020,-0.013682,0.00311614484137,0.327861,2.6882740111e-280,140,195,1451,133
open,mistralai/codestral-2508,44,1340,4020,0.176368,0.188557,0.523383,0.012189,0.00113194295386,0.334826,1.31330469525e-284,134,85,1485,139
open,mistralai/mixtral-8x22b-instruct,44,1340,4020,0.151990,0.157214,0.428109,0.005224,0.143389080657,0.270896,2.9512675734e-221,104,83,1221,132
