group,tasks,instances,rows,route1,route2,route3,delta_route2_route1,mcnemar_p_route2_route1,delta_route3_route2,mcnemar_p_route3_route2,n01_route2_route1,n10_route2_route1,n01_route3_route2,n10_route3_route2
O(1),4,227,4086,0.497797,0.494126,0.849731,-0.003671,0.519799877324,0.355605,3.60745077259e-303,229,244,1611,158
O(log n),1,35,630,0.223810,0.285714,0.328571,0.061905,0.000271817752203,0.042857,0.0196773944929,75,36,76,49
O(n),4,135,2430,0.048148,0.050206,0.074897,0.002058,0.635307642088,0.024691,2.193282501e-07,38,33,97,37
O(n log n),5,68,1224,0.000000,0.000000,0.000000,0.000000,1,0.000000,1,0,0,0,0
O(n^2),17,357,6426,0.124494,0.120293,0.490196,-0.004202,0.156581749358,0.369904,0,155,182,2412,35
O(n^2 log n),1,1,18,0.000000,0.000000,0.000000,0.000000,1,0.000000,1,0,0,0,0
O(n^3),4,37,666,0.000000,0.000000,0.000000,0.000000,1,0.000000,1,0,0,0,0
NP-hard,8,480,8640,0.238426,0.217361,0.591898,-0.021065,5.02158937995e-09,0.374537,0,391,573,3808,572
