         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    3.081    3.081 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:1807(from_pretrained)
   163678    0.098    0.000    2.821    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:1160(__iter__)
  9942334    2.544    0.000    2.545    0.000 {built-in method _abc._abc_instancecheck}
  4970983    1.721    0.000    2.466    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/collections/__init__.py:1110(__iter__)
        1    0.000    0.000    2.125    2.125 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/models/auto/tokenization_auto.py:806(get_tokenizer_config)
        1    0.030    0.030    2.015    2.015 /mnt/nlpgpu-io1/data/terry/ToolProj/src/exps_pret_corr/filter.py:64(<listcomp>)
 18850131    1.928    0.000    1.928    0.000 {method 'append' of 'list' objects}
    30935    0.104    0.000    1.848    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/arrow_dataset.py:2451(__iter__)
        4    0.000    0.000    1.831    0.458 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:1668(_download_to_tmp_and_move)
    30934    0.052    0.000    1.722    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:620(format_table)
       14    1.705    0.122    1.705    0.122 {built-in method posix.open}
  9941966    1.608    0.000    1.608    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:689(convert_to_tensors)
    30934    0.013    0.000    1.593    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:408(__call__)
