kind,digits,N,acc_nl,acc_code,acc_exec
ilp_assign,5,41,0.000000,0.000000,0.024390
ilp_assign,10,42,0.023810,0.023810,0.142857
ilp_assign,15,42,0.047619,0.047619,0.000000
ilp_assign,20,42,0.000000,0.000000,0.000000
ilp_partition,5,41,0.000000,0.048780,0.390244
ilp_partition,10,41,0.000000,0.000000,0.073171
ilp_partition,15,44,0.000000,0.000000,0.068182
ilp_partition,20,42,0.000000,0.000000,0.047619
ilp_prod,5,41,0.000000,0.024390,0.000000
ilp_prod,10,42,0.000000,0.000000,0.000000
ilp_prod,15,42,0.000000,0.023810,0.000000
ilp_prod,20,44,0.022727,0.000000,0.000000
knap,5,42,0.071429,0.047619,0.047619
knap,10,42,0.000000,0.000000,0.166667
knap,15,41,0.000000,0.000000,0.219512
knap,20,41,0.000000,0.000000,0.121951
lcs,5,41,0.439024,0.487805,1.000000
lcs,10,41,0.195122,0.243902,1.000000
lcs,15,42,0.023810,0.095238,1.000000
lcs,20,41,0.000000,0.146341,0.975610
rod,5,41,0.000000,0.000000,0.512195
rod,10,42,0.000000,0.000000,0.357143
rod,15,41,0.000000,0.000000,0.975610
rod,20,41,0.000000,0.000000,1.000000
